name;email;institution;gender;birthdate
Alberto Jesus;al.jesus@mail.pt;IST EN LIS;M;17/04/2007
João Silva;jsilva@mail.com;IST PT LEI;M;10/09/2006
Ana Pereira;pereana@mail.com;IST PPL;F;02/07/2000
Joana Simao ;simao17@mail.com;IST PPL;F;26/01/2003
Zulmira Dias;zu.dias@mail.com;IST TRE;M;17/04/2010
Cesar Peixoto;cesar.esquerdo@mail.com;IST FGT;M;05/04/2007
Rui Bras;bras.rui2009@mail.com;IST ASD;M;31/10/2001
Diana Guerreira;gerra.d.iana@mail.com;IST PG HT;F;29/08/2003
Eva Reina;reinas@mail.com;IST EN LIS;F;09/03/2004
Bianca Cruz;bianca.c.hruz@mail.com;IST PT LEI;F;03/11/2011
