name;email;institution;gender;birthdate;role
Alberto Jesus;al.jesus@mail.pt;IST EN LIS;M;17/04/2007;TEEN
João Silva;jsilva@mail.com;IST PT LEI;M;10/09/2006;TEACHER
Ana Pereira;pere.ana@mail.com;IST PPL;F;02/07/2000;HEALTHPRO
Joana Simao ;simao17@mail.com;IST PPL;F;26/01/2003;TEACHER
Zulmira Pedro;zu.dias@mail.com;IST TRE;M;17/04/2010;HEALTHPRO
César Peixoto;cesar.esquerdo@mail.com;IST FGT;M;05/04/2007;HEALTHPRO
Rui Bras;bras.rui_22009@mail.com;IST ASD;M;31/10/2001;TEACHER
Diana Guerreira;gerra.diana@mail.com;IST PG HT;F;29/08/2003;TEACHER
Eva Reina;reinas@mail.com;IST EN LIS;F;09/03/2004;TEEN
Bianca Silva;bianca.c.hruz@mail.com;IST PT LEI;F;03/11/2011;TEEN
