name;email;institution;school_1;school_2;school_3;school_4;school_5;gender;birthdate;role
Alberto Jesus;al.jesus@mail.pt;IST EN LIS;IST PPL;IST PG HT;IST PT LEI;;;M;17/04/2007;HEALTHPRO
Joao Silva;jsilva@mail.com;IST PT LEI;;;;;;M;10/09/2006;TEEN
Ana Pereira;pereana@mail.com;IST PPL;;IST ASD;;;;F;02/07/2000;HEALTHPRO
Joana Simao ;simao17@mail.com;IST PPL;;;;;;F;26/01/2003;TEEN
Zulmira Dias;zu.dias@mail.com;IST TRE;;;;;;M;17/04/2010;ADMIN 
Cesar Peixoto;cesar.esquerdo@mail.com;IST FGT;;;;;;M;05/04/2007;TEACHER
Rui Bras;bras.rui2009@mail.com;IST ASD;;;IST TRE;;;M;31/10/2001;HEALTHPRO
Diana Guerreira;gerra.d.iana@mail.com;IST PG HT;;;;;;F;29/08/2003;TEACHER
Eva Reina;reinas@mail.com;IST EN LIS;IST PT LEI;IST PPL;IST PG HT;TRE;IST EN LIS;F;09/03/2004;HEALTHPRO
Bianca Cruz;bianca.c.hruz@mail.com;IST PT LEI;;;;;;F;03/11/2011;TEACHER
